input,output,expected,bleu,gemini_score
Inson hayoti davomida bilim izlashdan to‘xtamasligi lozim.,Continuous learning is essential for a fulfilling life.,A person should never stop seeking knowledge throughout life.,0.024512401940754224,7
Har qanday muvaffaqiyat sabr-toqat va mehnat bilan keladi.,All success comes with patience and hard work.,Any success comes with patience and hard work.,0.8408964152537145,10
Dasturiy ta’minotning yangi versiyasi xavfsizlik protokollarini yangiladi.,The new version of the software updates security protocols.,The new version of the software updated its security protocols.,0.5911602603314157,6
Serverning ishlash tezligini optimallashtirish uchun kechiktirish vaqtini qisqartirish kerak.,We need to optimize the server's performance by reducing downtime.,"To optimize server performance, the latency must be reduced.",0.025098621243978974,4
Ma’lumotlar bazasi indekslash orqali so‘rovlarni tezroq qayta ishlaydi.,The data base indexing allows for faster retrieval of data.,The database processes queries faster through indexing.,0.025098621243978974,5
Sun’iy intellekt modeli katta hajmdagi ma’lumotlar ustida o‘qitildi.,A large language model has been trained on a massive dataset.,The artificial intelligence model was trained on large-scale data.,0.04411629359322707,6
Sensorlar real vaqt rejimida harorat va namlikni o‘lchaydi.,Sensors measure temperature and humidity in real-time.,Sensors measure temperature and humidity in real time.,0.7013967267997694,10
Algoritm murakkab hisob-kitoblarni millisekundlarda bajaradi.,The algorithm can perform complex calculations in milliseconds.,The algorithm performs complex calculations in milliseconds.,0.4111336169005197,9
Tizimdagi xatoliklar jurnal faylida avtomatik ravishda qayd etiladi.,System errors are recorded automatically in the log file.,Errors in the system are automatically recorded in the log file.,0.2748887655709261,10
Kiberxavfsizlik siyosati foydalanuvchi ma’lumotlarini himoya qilishga qaratilgan.,Cybersecurity policies are designed to protect user data.,The cybersecurity policy aims to protect user data.,0.345720784641941,9
Sensor tarmog‘i uzluksiz monitoring orqali energiya sarfini kamaytiradi.,"The sensor network provides continuous monitoring, reducing energy consumption.",The sensor network reduces energy consumption through continuous monitoring.,0.13485111859503685,9
Bulutli xizmatlar foydalanuvchilarga moslashuvchan saqlash hajmini taqdim etadi.,Cloud services offer flexible storage capacity to users.,Cloud services provide users with flexible storage capacity.,0.08307018474412793,10
Kecha jigarim bilan ko‘rishtim. Mazza qilib shashlik-xo‘rlik qildik.,I am watching a movie. We had a good time.,Yesterday I met up with my bro. We ate shashlik.,0.025098621243978974,1
Ukam futbol o‘ynashni qotirib qo‘yadi.,He loves to play football.,"My little bro can’t play football good. When he kicks, the ball flies into the sky.",0.00595328711636231,1
Tepsa koptok osmonga uchib ketadi.,He goes to the gym.,"My little bro can’t play football good. When he kicks, the ball flies into the sky.",0.00595328711636231,1
Nima gapla bolla? Qale ishla?,"What's up, kid? Is he working?","What’s up, guys? How are you?",0.040824829046386304,3
Kecha o‘rtog‘im adasiga rossa paxta qo‘ydi.,I put a piece of bread in the bread basket.,Yesterday my friend really buttered up his dad. Guess he wants a new phone.,0.01414733290395472,1
Yengi telefon kerak shakil.,I need a new phone.,Yesterday my friend really buttered up his dad. Guess he wants a new phone.,0.04395541994992161,2
Bugun jonkam bilan ko‘rishkanimda rossa miyyami yedi.,I had a nice time with my family today.,"When I met my babe today, she really got on my nerves. In the end, I slapped her.",0.010491016505528306,1
"Oxiri nervimga teygani uchun, shapat berdim.",I gave him a hug because he was nervous.,"When I met my babe today, she really got on my nerves. In the end, I slapped her.",0.008821858171866304,1
"Eee, manga baribir. Man sirpandim bu yerdan.","Oh, I'm so tired. I'm going to go.","Eh, I don’t care. I’m outta here.",0,2
"U bolani soqqasi ko‘p, lyuboy moshinani sotib oladi.",He bought a lot of toys for his son.,"That guy’s loaded, he can buy any car he wants.",0,1
