input,output,expected,bleu,gemini_score
U mehnatkashligi va halolligi bilan boshqalardan ajralib turadi.,He stands out from others because of his hard work and honesty.,He stands out from others with his diligence and honesty.,0.37700638045494705,10
Inson hayoti davomida bilim izlashdan to‘xtamasligi lozim.,A person should never stop seeking knowledge throughout life.,A person should never stop seeking knowledge throughout life.,1.0,10
Har qanday muvaffaqiyat sabr-toqat va mehnat bilan keladi.,Any success comes with patience and hard work.,Any success comes with patience and hard work.,1.0,10
Dasturiy ta’minotning yangi versiyasi xavfsizlik protokollarini yangiladi.,The new version of the software updates the security protocols.,The new version of the software updated its security protocols.,0.5814307369682193,7
Serverning ishlash tezligini optimallashtirish uchun kechiktirish vaqtini qisqartirish kerak.,"To optimize the server’s performance, latency must be reduced.","To optimize server performance, the latency must be reduced.",0.3814165616365676,9
Ma’lumotlar bazasi indekslash orqali so‘rovlarni tezroq qayta ishlaydi.,The database processes queries faster through indexing.,The database processes queries faster through indexing.,1.0,10
Sun’iy intellekt modeli katta hajmdagi ma’lumotlar ustida o‘qitildi.,The AI model was trained on a large volume of data.,The artificial intelligence model was trained on large-scale data.,0.2596535889340338,10
Sensorlar real vaqt rejimida harorat va namlikni o‘lchaydi.,Sensors measure temperature and humidity in real time.,Sensors measure temperature and humidity in real time.,1.0,10
Algoritm murakkab hisob-kitoblarni millisekundlarda bajaradi.,The algorithm performs complex calculations in milliseconds.,The algorithm performs complex calculations in milliseconds.,1.0,10
Tizimdagi xatoliklar jurnal faylida avtomatik ravishda qayd etiladi.,System errors are automatically logged in the journal file.,Errors in the system are automatically recorded in the log file.,0.06072180438835134,7
Kiberxavfsizlik siyosati foydalanuvchi ma’lumotlarini himoya qilishga qaratilgan.,The cybersecurity policy is aimed at protecting user data.,The cybersecurity policy aims to protect user data.,0.14923729480049117,10
Sensor tarmog‘i uzluksiz monitoring orqali energiya sarfini kamaytiradi.,The sensor network reduces energy consumption through continuous monitoring.,The sensor network reduces energy consumption through continuous monitoring.,1.0,10
Bulutli xizmatlar foydalanuvchilarga moslashuvchan saqlash hajmini taqdim etadi.,Cloud services provide users with flexible storage capacity.,Cloud services provide users with flexible storage capacity.,1.0,10
Kecha jigarim bilan ko‘rishtim. Mazza qilib shashlik-xo‘rlik qildik.,I met up with my buddy last night. We had a great time with kebabs and all.,Yesterday I met up with my bro. We ate shashlik.,0.2240750868020436,10
Ukam futbol o‘ynashni qotirib qo‘yadi. Tepsa koptok osmonga uchib ketadi.,My little brother is crazy about playing football. The ball flies up to the sky.,"My little bro can’t play football good. When he kicks, the ball flies into the sky.",0.04529280187247069,2
Nima gapla bolla? Qale ishla?,"What’s up, guys? How’s it going?","What’s up, guys? How are you?",0.20205155046766235,10
Kecha o‘rtog‘im adasiga rossa paxta qo‘ydi. Yengi telefon kerak shakil.,Yesterday my friend really showed off at the wedding. Looks like he needs a new phone.,Yesterday my friend really buttered up his dad. Guess he wants a new phone.,0.22894156860669912,3
"Bugun jonkam bilan ko‘rishkanimda rossa miyyami yedi. Oxiri nervimga teygani uchun, shapat berdim.","Today when I met my buddy, he really got on my nerves. In the end, I gave him a piece of my mind.","When I met my babe today, she really got on my nerves. In the end, I slapped her.",0.4057473284975201,4
"Eee, manga baribir. Man sirpandim bu yerdan.","Eh, whatever. I’m outta here.","Eh, I don’t care. I’m outta here.",0.19153996003797966,10
"U bolani soqqasi ko‘p, lyuboy moshinani sotib oladi.","That guy has deep pockets, he buys any car he wants.","That guy’s loaded, he can buy any car he wants.",0.2596535889340338,10
Anu qizchani ko‘rinishi takoy ekan mi?,"Hey, that girl’s pretty cute, huh?","That girl looks attractive, doesn’t she?",0,9
Kecha moshinamga zo‘r saka diska oldim.,Yesterday I got some sick rims for my ride.,Yesterday I got some awesome alloy rims for my car.,0.3862752974508186,10
Moshinani shapkasi qancha?,How much did the car wrap cost?,How much is the grease money for the car?,0.05809334108283256,1
